།_  དེ  བཞིན 	ཐུན་མོང 	མ་ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	ཐུན་མོང  མ་ཡིན་པ  ལ  བསྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ 
 དེ  །_ 						དེ 	།_ 	མྱ་ངན་ལས 	འདས་པ་ནི 	མར་མེ་དང 	མཚུངས་སོ 	bstod tshogs ka_.txt	     དེ  །_  མྱ་ངན་ལས  འདས་པ་ནི  མར་མེ་དང  མཚུངས་སོ 
།_།  དེ  མེད་པ 	།_ 	དངོས་པོ་ནི 	གཟུགས་སུ 	ཡོད་པའོ 	།_། 	དེ 	མེད་པ 	-ར 	གྱུར་པ་ནི 	དངོས་པོ 	མེད་པ་སྟེ 	bstod tshogs ka_.txt	།_  དངོས་པོ་ནི  གཟུགས་སུ  ཡོད་པའོ  །_།  དེ  མེད་པ  -ར  གྱུར་པ་ནི  དངོས་པོ  མེད་པ་སྟེ 
།_།  དེ  ཉིད་ཀྱིས 	དབུས་ལས 	འདས་པ 	-ར 	གྱུར་པའོ 	།_། 	དེ 	ཉིད་ཀྱིས 	ནམ་མཁའ 	ལྟར 	རོ་གཅིག་པ་སྟེ 	།_ 	bstod tshogs ka_.txt	དབུས་ལས  འདས་པ  -ར  གྱུར་པའོ  །_།  དེ  ཉིད་ཀྱིས  ནམ་མཁའ  ལྟར  རོ་གཅིག་པ་སྟེ  །_ 
།_།  དེ  ཉིད་ཀྱིས་ན 	གྱུར་པ་དེ་ནི 	ནམ་མཁའ 	ལྟར 	རོ་གཅིག་ཅེས་བྱའོ 	།_། 	དེ 	ཉིད་ཀྱིས་ན 	རྟོགས་པ 	-ར 	དཀའ་བ 	-འི 	bstod tshogs ka_.txt	གྱུར་པ་དེ་ནི  ནམ་མཁའ  ལྟར  རོ་གཅིག་ཅེས་བྱའོ  །_།  དེ  ཉིད་ཀྱིས་ན  རྟོགས་པ  -ར  དཀའ་བ  -འི 
།_།  དེ  བས་ན 	གཞན་ལས 	བཙལ་བ་དང 	བྲལ་བ 	ཉིད་དོ 	།_། 	དེ 	བས་ན 	གོས་པ 	མེད་པ་སྟེ 	།_ 	འདོད 	bstod tshogs ka_.txt	གཞན་ལས  བཙལ་བ་དང  བྲལ་བ  ཉིད་དོ  །_།  དེ  བས་ན  གོས་པ  མེད་པ་སྟེ  །_  འདོད 
།_།  དེ  ཉིད་ཀྱིས་ན 	-འི 	དྲི་མ་དང 	བྲལ་བ 	ཉིད་དོ 	།_། 	དེ 	ཉིད་ཀྱིས་ན 	མི་འགྱུར་བ་སྟེ 	རང་གི 	ངོ་བོ 	ཉིད་ལ 	bstod tshogs ka_.txt	-འི  དྲི་མ་དང  བྲལ་བ  ཉིད་དོ  །_།  དེ  ཉིད་ཀྱིས་ན  མི་འགྱུར་བ་སྟེ  རང་གི  ངོ་བོ  ཉིད་ལ 
 དེ ་བ 						དེ	་བ 	དྲིས་པ 	བཞིན་ནོ 	།_། 	དཔེ 	bstod tshogs ka_.txt	     དེ ་བ  དྲིས་པ  བཞིན་ནོ  །_།  དཔེ 
།_  དེ  སྐད་དུ་ཡང 	དཔེ་ལས 	འདས་པ 	-ར 	གྱུར་པ་སྟེ 	།_ 	དེ 	སྐད་དུ་ཡང 	།_ 	མཚུངས་པ 	འགའ་ཡང 	ཡོད 	bstod tshogs ka_.txt	དཔེ་ལས  འདས་པ  -ར  གྱུར་པ་སྟེ  །_  དེ  སྐད་དུ་ཡང  །_  མཚུངས་པ  འགའ་ཡང  ཡོད 
།_།  དེ ་ལ 	འདྲེན་པ 	མཉམ་པ 	མེད 	གྱུར་པ 	།_། 	དེ	་ལ 	དཔེ 	-ར 	བྱ 	གང་ཞིག་གཞལ 	bstod tshogs ka_.txt	འདྲེན་པ  མཉམ་པ  མེད  གྱུར་པ  །_།  དེ ་ལ  དཔེ  -ར  བྱ  གང་ཞིག་གཞལ 
།_།  དེ  ལྟ་བུ 	།_། 	ཞེས 	བཤད་པ 	-ས་སོ 	།_། 	དེ 	ལྟ་བུ 	-འི 	ཆོས་ཀྱི 	སྐུ་སྟེ 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	།_།  ཞེས  བཤད་པ  -ས་སོ  །_།  དེ  ལྟ་བུ  -འི  ཆོས་ཀྱི  སྐུ་སྟེ  ཆོས་ཀྱི 
 དེ ་ལ 						དེ	་ལ 	བདག 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     དེ ་ལ  བདག  ཕྱག  འཚལ་ལོ  །_། 
 དེ  རྣམས་ཀྱི 						དེ 	རྣམས་ཀྱི 	ནང་དུའོ 	།_། 	སྣ 	ཚོགས་པ་ནི 	bstod tshogs ka_.txt	     དེ  རྣམས་ཀྱི  ནང་དུའོ  །_།  སྣ  ཚོགས་པ་ནི 
།_།  དེ  ཉིད་ཀྱིས་ན་དེ 	ཐམས་ཅད་དུ 	འཇུག་པ 	-ས་ན 	རྒྱ་ཆེ་བའོ 	།_། 	དེ 	ཉིད་ཀྱིས་ན་དེ 	རྒྱུན 	མི་འཆད་པ 	-ར 	སྤྲོ་བ 	bstod tshogs ka_.txt	ཐམས་ཅད་དུ  འཇུག་པ  -ས་ན  རྒྱ་ཆེ་བའོ  །_།  དེ  ཉིད་ཀྱིས་ན་དེ  རྒྱུན  མི་འཆད་པ  -ར  སྤྲོ་བ 
འགྱུར་བ་དེ་ལ  དེ ་སྐད་ཅེས་བྱའོ 	-འི 	ཆོས་སྟོན་ཅིང 	གསུང་བ 	-ར 	འགྱུར་བ་དེ་ལ 	དེ	་སྐད་ཅེས་བྱའོ 	།_། 	སངས 	རྒྱས་ཞེས 	བྱ་བ་ནི 	bstod tshogs ka_.txt	-འི  ཆོས་སྟོན་ཅིང  གསུང་བ  -ར  འགྱུར་བ་དེ་ལ  དེ ་སྐད་ཅེས་བྱའོ  །_།  སངས  རྒྱས་ཞེས  བྱ་བ་ནི 
 དེ  ཁོ་ན་ཉིད་ཇི 						དེ 	ཁོ་ན་ཉིད་ཇི 	ལྟ་བ 	བཞིན་དུ 	བརྙེས་ཤིང 	ཐུགས་སུ 	bstod tshogs ka_.txt	     དེ  ཁོ་ན་ཉིད་ཇི  ལྟ་བ  བཞིན་དུ  བརྙེས་ཤིང  ཐུགས་སུ 
།_།  དེ འི 	-ས 	ལོངས་སྤྱོད 	པར 	མཛད་པའོ 	།_། 	དེ	འི 	ཕྱིར 	ཁྱད་པར 	གཞན་ཡང 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	-ས  ལོངས་སྤྱོད  པར  མཛད་པའོ  །_།  དེ འི  ཕྱིར  ཁྱད་པར  གཞན་ཡང  ཆོས་ཀྱི 
།_།  དེ ་ལ 	ཆེན་པོ་སྟེ 	ཁམས་གསུམ་པ 	ཐམས་ཅད་ཀྱི 	བདག་པོའོ 	།_། 	དེ	་ལ 	གནས་པ 	-འི 	སྐུ 	གང་ཡིན་པ་དེ་ལ 	bstod tshogs ka_.txt	ཆེན་པོ་སྟེ  ཁམས་གསུམ་པ  ཐམས་ཅད་ཀྱི  བདག་པོའོ  །_།  དེ ་ལ  གནས་པ  -འི  སྐུ  གང་ཡིན་པ་དེ་ལ 
 དེ  ལྟར 	དེ་སྐད་ཅེས་བྱའོ 	།_། 				དེ 	ལྟར 	ཚིགས་སུ 	བཅད་པ་གཉིས་ཀྱིས 	སྐུ 	རྣམ་པ་གཉིས་པོ 	bstod tshogs ka_.txt	དེ་སྐད་ཅེས་བྱའོ  །_།     དེ  ལྟར  ཚིགས་སུ  བཅད་པ་གཉིས་ཀྱིས  སྐུ  རྣམ་པ་གཉིས་པོ 
།_  དེ  ལྟ་བུ 	-འམ 	ཐོབ་པ 	-ར 	མཛད་པ་སྟེ 	།_ 	དེ 	ལྟ་བུ 	-འི 	སྤྲུལ་པ 	-འི 	སྐུ 	bstod tshogs ka_.txt	-འམ  ཐོབ་པ  -ར  མཛད་པ་སྟེ  །_  དེ  ལྟ་བུ  -འི  སྤྲུལ་པ  -འི  སྐུ 
 དེ ་ལ 						དེ	་ལ 	ཕྱག 	འཚལ་ལོ་ཞེས 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	bstod tshogs ka_.txt	     དེ ་ལ  ཕྱག  འཚལ་ལོ་ཞེས  སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས 
 དེ ་ནི 	གསུངས་པ་ཡིན་ནོ 	།_། 				དེ	་ནི 	འདི་སྐད་དུ 	སྟོན་པ 	-ར 	འགྱུར་ཏེ 	bstod tshogs ka_.txt	གསུངས་པ་ཡིན་ནོ  །_།     དེ ་ནི  འདི་སྐད་དུ  སྟོན་པ  -ར  འགྱུར་ཏེ 
།_།  དེ ་ནས 	-ས 	ཡང་དག 	པར 	སངས་རྒྱས་སོ 	།_། 	དེ	་ནས 	སྤྲུལ་པ 	-འི 	སྐུས 	དེ་བཞིན 	bstod tshogs ka_.txt	-ས  ཡང་དག  པར  སངས་རྒྱས་སོ  །_།  དེ ་ནས  སྤྲུལ་པ  -འི  སྐུས  དེ་བཞིན 
།_།  དེ  ཉིད་ཀྱི 	འཚལ་ལོ་ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ 	ཉིད་ཀྱི 	ཕྱིར་ན 	།_ 	འོག 	མིན 	bstod tshogs ka_.txt	འཚལ་ལོ་ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ  ཉིད་ཀྱི  ཕྱིར་ན  །_  འོག  མིན 
སངས་རྒྱས  དེ  -ར 	བཞུགས་ཏེ 	།_། 	ཡང 	དག 	སངས་རྒྱས 	དེ 	-ར 	སངས་རྒྱས 	།_། 	སྤྲུལ་པ 	དག་ནི 	bstod tshogs ka_.txt	བཞུགས་ཏེ  །_།  ཡང  དག  སངས་རྒྱས  དེ  -ར  སངས་རྒྱས  །_།  སྤྲུལ་པ  དག་ནི 
།_།  དེ  ལྟར 	ཞེས 	བྱ་བ 	གསུངས་པ 	-ས་སོ 	།_། 	དེ 	ལྟར 	ཚིགས་སུ 	བཅད་པ་གསུམ་གྱིས 	སྐུ་གསུམ 	བསྟན་ནས 	bstod tshogs ka_.txt	ཞེས  བྱ་བ  གསུངས་པ  -ས་སོ  །_།  དེ  ལྟར  ཚིགས་སུ  བཅད་པ་གསུམ་གྱིས  སྐུ་གསུམ  བསྟན་ནས 
 དེ ་ནི 						དེ	་ནི 	སེམས་ཅན་གྱི 	དོན 	གཅིག 	རྒྱུན་དུ 	bstod tshogs ka_.txt	     དེ ་ནི  སེམས་ཅན་གྱི  དོན  གཅིག  རྒྱུན་དུ 
 དེ  ལྟ་བུ 	མཛད་པ་སྟེ 	།_ 				དེ 	ལྟ་བུ 	-འི 	སེམས་ཅན་གྱི 	དོན 	མཛད་པ་དེ་ལ 	bstod tshogs ka_.txt	མཛད་པ་སྟེ  །_     དེ  ལྟ་བུ  -འི  སེམས་ཅན་གྱི  དོན  མཛད་པ་དེ་ལ 
།_།  དེ  ཡོངས་སུ 	ཆེན་པོ་ནི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ་དྲུག་དང 	ལྡན་པའོ 	།_། 	དེ 	ཡོངས་སུ 	ཆད་པ 	མེད་པ 	-ར 	བསགས་པ་ནི 	bstod tshogs ka_.txt	ཆེན་པོ་ནི  ཕ་རོལ་ཏུ  ཕྱིན་པ་དྲུག་དང  ལྡན་པའོ  །_།  དེ  ཡོངས་སུ  ཆད་པ  མེད་པ  -ར  བསགས་པ་ནི 
བྱུང་བ་ནི  དེ ་ལས 	ཡེ་ཤེས 	ཆེན་པོ 	དཔག་ཏུ 	མེད་པ་ལས 	བྱུང་བ་ནི 	དེ	་ལས 	སྐྱེས་པའོ 	།_། 	དེ 	སུ་ཞིག་ཅེ་ན 	bstod tshogs ka_.txt	ཡེ་ཤེས  ཆེན་པོ  དཔག་ཏུ  མེད་པ་ལས  བྱུང་བ་ནི  དེ ་ལས  སྐྱེས་པའོ  །_།  དེ  སུ་ཞིག་ཅེ་ན 
 དེ  བར 						དེ 	བར 	གཤེགས་པ་སྟེ 	མཛེས་པ 	-ར 	གཤེགས་པ 	bstod tshogs ka_.txt	     དེ  བར  གཤེགས་པ་སྟེ  མཛེས་པ  -ར  གཤེགས་པ 
 དེ ་བ 						དེ	་བ 	-ར 	གཤེགས་པའོ 	།_། 	ཡང་ན 	bstod tshogs ka_.txt	     དེ ་བ  -ར  གཤེགས་པའོ  །_།  ཡང་ན 
 དེ ་བ 						དེ	་བ 	-ར 	གཤེགས་པའོ 	།_། 	རྣམས་ཀྱི 	bstod tshogs ka_.txt	     དེ ་བ  -ར  གཤེགས་པའོ  །_།  རྣམས་ཀྱི 
།_།  དེ  བས་ན 	སྐུ་ཞེས 	བྱ་བ 	-འི 	སྐུ་གསུམ་པའོ 	།_། 	དེ 	བས་ན 	དེ 	-འི 	ཡོན་ཏན་གྱི 	ཁྱད་པར་ཇི 	bstod tshogs ka_.txt	སྐུ་ཞེས  བྱ་བ  -འི  སྐུ་གསུམ་པའོ  །_།  དེ  བས་ན  དེ  -འི  ཡོན་ཏན་གྱི  ཁྱད་པར་ཇི 
།_།  དེ  ལྟ་བུ 	ཤིན་ཏུ 	འདས་པ 	-འི 	དོན་ཏོ 	།_། 	དེ 	ལྟ་བུ 	-ར 	གྱུར་པ 	ལ་མོ 	-ས་པ 	bstod tshogs ka_.txt	ཤིན་ཏུ  འདས་པ  -འི  དོན་ཏོ  །_།  དེ  ལྟ་བུ  -ར  གྱུར་པ  ལ་མོ  -ས་པ 
།_།  དེ  བསྒྲུབས་ཤིང 	སེམས་ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ 	བསྒྲུབས་ཤིང 	བསགས་པའོ 	།_། 	དེས་ན 	དེ 	bstod tshogs ka_.txt	སེམས་ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ  བསྒྲུབས་ཤིང  བསགས་པའོ  །_།  དེས་ན  དེ 
 དེ  -ས 	-འི 	བསོད་ནམས་ཀྱི 	ཚོགས 	གང་ཡིན་པ 		དེ 	-ས 	ཆོས་དང 	ལོངས་སྤྱོད 	རྫོགས་པ་དང 	།_ 	bstod tshogs ka_.txt	-འི  བསོད་ནམས་ཀྱི  ཚོགས  གང་ཡིན་པ   དེ  -ས  ཆོས་དང  ལོངས་སྤྱོད  རྫོགས་པ་དང  །_ 
 དེ ་ལ 						དེ	་ལ 	རབ་ཏུ 	འཛུད་ཅིང 	འགོད་པ 	-ར 	bstod tshogs ka_.txt	     དེ ་ལ  རབ་ཏུ  འཛུད་ཅིང  འགོད་པ  -ར 
 དེ ་ཡིས 						དེ	་ཡིས 	ང་ལ 	གུས་པ་སྟེ 	།_། 	སྙིང 	bstod tshogs ka_.txt	     དེ ་ཡིས  ང་ལ  གུས་པ་སྟེ  །_།  སྙིང 
།_།  དེ ་ནི 	-ར 	གྱུར་པ 	ལྷུང་བ 	གང་ཡིན་པ 	།_། 	དེ	་ནི 	དེ་ལས 	སྙིང་རྗེ 	-ས 	བསླང་བ 	bstod tshogs ka_.txt	-ར  གྱུར་པ  ལྷུང་བ  གང་ཡིན་པ  །_།  དེ ་ནི  དེ་ལས  སྙིང་རྗེ  -ས  བསླང་བ 
།_།  དེ ས་ནི 	སེམས་ཅན་ལ་ནི 	རྗེས་སུ 	ཞུགས 	གྱུར་པ 	།_། 	དེ	ས་ནི 	ང་ཡང 	མཉེས 	བྱས 	དེ 	bstod tshogs ka_.txt	སེམས་ཅན་ལ་ནི  རྗེས་སུ  ཞུགས  གྱུར་པ  །_།  དེ ས་ནི  ང་ཡང  མཉེས  བྱས  དེ 
ཡོད་པ  དེ  -ས་ནི 	བློ་དང 	གསལ་བ་དག 	_། 	གང་ལ 	ཡོད་པ 	དེ 	-ས་ནི 	རྟག་ཏུ 	བདེ་བ 	-ར 	གཤེགས་པ་མཆོད 	bstod tshogs ka_.txt	བློ་དང  གསལ་བ་དག  _།  གང་ལ  ཡོད་པ  དེ  -ས་ནི  རྟག་ཏུ  བདེ་བ  -ར  གཤེགས་པ་མཆོད 
 དེ ་གང་གི་ཕྱིར 						དེ	་གང་གི་ཕྱིར 	།_། 	ང་ལ 	མི 	ལྟོས་པ 	bstod tshogs ka_.txt	     དེ ་གང་གི་ཕྱིར  །_།  ང་ལ  མི  ལྟོས་པ 
-ས་ན  དེ  -འི 					-ས་ན 	དེ 	-འི 	དོན 	སྟོན་པ 	-ར 	མི 	bstod tshogs ka_.txt	    -ས་ན  དེ  -འི  དོན  སྟོན་པ  -ར  མི 
ཕན་པ་ཆུང་ཡང  དེ  -ས་ནི 	འགྱུར་རོ 	།_། 	སེམས 	ཅན 	ཕན་པ་ཆུང་ཡང 	དེ 	-ས་ནི 	མཆོད་པ 	འབྱུང་འགྱུར་ཏེ 	།_། 	གང་གིས་ཡིད་ནི 	bstod tshogs ka_.txt	འགྱུར་རོ  །_།  སེམས  ཅན  ཕན་པ་ཆུང་ཡང  དེ  -ས་ནི  མཆོད་པ  འབྱུང་འགྱུར་ཏེ  །_།  གང་གིས་ཡིད་ནི 
གྱུར་ཀྱང  དེ  -ས་ནི 	-ར 	སྦྱར་ནས 	མཆོད་པ 	-ར 	གྱུར་ཀྱང 	དེ 	-ས་ནི 	མཆོད 	མི་འགྱུར 	།_། 	ཆུང 	bstod tshogs ka_.txt	-ར  སྦྱར་ནས  མཆོད་པ  -ར  གྱུར་ཀྱང  དེ  -ས་ནི  མཆོད  མི་འགྱུར  །_།  ཆུང 
།_།  དེ ས་ན་དེ་ལ 	བྱས་ནས 	ང་ཡིས 	ཡོངས 	བཏང་བ 	།_། 	དེ	ས་ན་དེ་ལ 	གནོད་པ 	བྱས་ན 	ང་ལ 	གནོད 	bstod tshogs ka_.txt	བྱས་ནས  ང་ཡིས  ཡོངས  བཏང་བ  །_།  དེ ས་ན་དེ་ལ  གནོད་པ  བྱས་ན  ང་ལ  གནོད 
 དེ ས་ན 	བྱས་འགྱུར 	།_། 				དེ	ས་ན 	སེམས་ཅན 	ཕན་པ 	བྱས་ན 	ང་ལ 	bstod tshogs ka_.txt	བྱས་འགྱུར  །_།     དེ ས་ན  སེམས་ཅན  ཕན་པ  བྱས་ན  ང་ལ 
 དེ ་དང 						དེ	་དང 	སྡུག་བསྔལ 	ང 	དང་སེམས 	ཅན 	bstod tshogs ka_.txt	     དེ ་དང  སྡུག་བསྔལ  ང  དང་སེམས  ཅན 
 དེ  ང་ཡི 						དེ 	ང་ཡི 	སློབ་མ 	ཇི་ལྟར་ཡིན 	།_། 	སེམས 	bstod tshogs ka_.txt	     དེ  ང་ཡི  སློབ་མ  ཇི་ལྟར་ཡིན  །_།  སེམས 
རྣམས་ལ  དེ ་ལྟ 	སྟོབས་ཀྱང་བཅོམ 	།_། 	སེམས 	ཅན 	རྣམས་ལ 	དེ	་ལྟ 	དེ་ལྟར 	སྤྱད་པ 	དེས་ན 	ང 	bstod tshogs ka_.txt	སྟོབས་ཀྱང་བཅོམ  །_།  སེམས  ཅན  རྣམས་ལ  དེ ་ལྟ  དེ་ལྟར  སྤྱད་པ  དེས་ན  ང 
 དེ ་ལ 						དེ	་ལ 	འབད་པ 	-འི་ཡིད་ཀྱིས 	བཟོད་པ 	ཡུན 	bstod tshogs ka_.txt	     དེ ་ལ  འབད་པ  -འི་ཡིད་ཀྱིས  བཟོད་པ  ཡུན 
 དེ  བར 						དེ 	བར 	གཤེགས་ཀྱི 	བདག་ཉིད 	ཆེན་པོ 	ངོ་མཚར 	bstod tshogs ka_.txt	     དེ  བར  གཤེགས་ཀྱི  བདག་ཉིད  ཆེན་པོ  ངོ་མཚར 
།_།  དེ  སྲིད 	འདི 	-ར་ནི 	འབར 	གྱུར་པ 	།_། 	དེ 	སྲིད 	གཞན་ལ 	མཆོག་ཏུ 	ཕན་པ 	-ར 	bstod tshogs ka_.txt	འདི  -ར་ནི  འབར  གྱུར་པ  །_།  དེ  སྲིད  གཞན་ལ  མཆོག་ཏུ  ཕན་པ  -ར 
།_།  དེ ས་ནི 	ཡས 	ཁྱོད 	མཐོང 	གང་ཡིན་པ 	།_། 	དེ	ས་ནི 	དེ་བཞིན 	གཤེགས་པ་མཐོང 	།_། 	འཕགས 	bstod tshogs ka_.txt	ཡས  ཁྱོད  མཐོང  གང་ཡིན་པ  །_།  དེ ས་ནི  དེ་བཞིན  གཤེགས་པ་མཐོང  །_།  འཕགས 
 དེ ་བླག་འགྲོ 						དེ	་བླག་འགྲོ 	།_། 	ལན་ཅིག 	ཙམ་ཡང 	བསམ 	bstod tshogs ka_.txt	     དེ ་བླག་འགྲོ  །_།  ལན་ཅིག  ཙམ་ཡང  བསམ 
།_།  དེ ས་ཀྱང 	།_། 	ཁྱོད་ལ 	ཚུལ་བཞིན 	བལྟ་བ་དང 	།_། 	དེ	ས་ཀྱང 	མཐོང་བ 	དོན་ཡོད་ཀྱི 	།_། 	དངོས 	bstod tshogs ka_.txt	།_།  ཁྱོད་ལ  ཚུལ་བཞིན  བལྟ་བ་དང  །_།  དེ ས་ཀྱང  མཐོང་བ  དོན་ཡོད་ཀྱི  །_།  དངོས 
།_།  དེ ་ཡི 	རྗེ 	ཅན 	རྣམས 	ཁྱོད་ཀྱི་སྲས 	།_། 	དེ	་ཡི 	སླད་དུ 	དགེ་མ་ཁྱོད 	།_། 	སེམས 	bstod tshogs ka_.txt	རྗེ  ཅན  རྣམས  ཁྱོད་ཀྱི་སྲས  །_།  དེ ་ཡི  སླད་དུ  དགེ་མ་ཁྱོད  །_།  སེམས 
།_།  དེ ་དང 	བྱ 	-འི 	འགྲོ་བ་ལ 	བརྟེན་ནས 	།_། 	དེ	་དང 	དེ་བཞིན 	གཤེགས 	རྣམས་ཀྱིས 	།_། 	bstod tshogs ka_.txt	བྱ  -འི  འགྲོ་བ་ལ  བརྟེན་ནས  །_།  དེ ་དང  དེ་བཞིན  གཤེགས  རྣམས་ཀྱིས  །_། 
།_།  དེ ་ལ 	པར 	ཆགས་པ 	མངའ 	མིན་ན 	།_། 	དེ	་ལ 	ཡུམ 	གཅིག 	ཇི་ལྟར་ན 	།_། 	bstod tshogs ka_.txt	པར  ཆགས་པ  མངའ  མིན་ན  །_།  དེ ་ལ  ཡུམ  གཅིག  ཇི་ལྟར་ན  །_། 
ཁྱོད  དེ ་ལྟར 	དམིགས 	མ་ལགས 	།_། 	གང 	ཁྱོད 	དེ	་ལྟར 	མ 	འཁུམས་ནས 	།_། 	བསམ་པ་ཡིས་ནི 	bstod tshogs ka_.txt	དམིགས  མ་ལགས  །_།  གང  ཁྱོད  དེ ་ལྟར  མ  འཁུམས་ནས  །_།  བསམ་པ་ཡིས་ནི 
།_།  དེ  འདི 	བསྒྲུབས་པ་དང 	།_། 	བསྒྲུབས་པ་ལས་ནི 	རྣམ་གྲོལ་བ 	།_། 	དེ 	འདི 	-ར 	རྨད་བྱུང 	ཆེན་པོ་ལགས 	།_། 	bstod tshogs ka_.txt	བསྒྲུབས་པ་དང  །_།  བསྒྲུབས་པ་ལས་ནི  རྣམ་གྲོལ་བ  །_།  དེ  འདི  -ར  རྨད་བྱུང  ཆེན་པོ་ལགས  །_། 
།_།  དེ  ལྟར 	ཉིད 	གཅིག་པུ 	ཐར་པ 	-འི་ལམ 	།_། 	དེ 	ལྟར 	གཞན་དག 	མེད་པ 	-ར་ངེས 	།_། 	bstod tshogs ka_.txt	ཉིད  གཅིག་པུ  ཐར་པ  -འི་ལམ  །_།  དེ  ལྟར  གཞན་དག  མེད་པ  -ར་ངེས  །_། 
།_།  དེ  ལྟར 	འགའ 	-ར་ཡང 	རྟེན 	མི་མངའ 	།_། 	དེ 	ལྟར 	གདའ་ཡང 	ཀུན་རྫོབ་ཏུ 	།_། 	བདག 	bstod tshogs ka_.txt	འགའ  -ར་ཡང  རྟེན  མི་མངའ  །_།  དེ  ལྟར  གདའ་ཡང  ཀུན་རྫོབ་ཏུ  །_།  བདག 
།_།  དེ ་ཡིས 	།_། 	བདག་གིས 	དགེ་བ་གང 	བསགས་པ 	།_། 	དེ	་ཡིས 	འཇིག་རྟེན 	མ 	ལུས་པ 	།_། 	bstod tshogs ka_.txt	།_།  བདག་གིས  དགེ་བ་གང  བསགས་པ  །_།  དེ ་ཡིས  འཇིག་རྟེན  མ  ལུས་པ  །_། 
 དེ ་ལ 						དེ	་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ཇི 	bstod tshogs ka_.txt	     དེ ་ལ  ཕྱག  འཚལ་ལོ  །_།  ཇི 
།_།  དེ  བཞིན 	།_། 	ཉིད་ཀྱིས 	ཆོས་ལ 	བདག་མེད་རྟོགས 	།_། 	དེ 	བཞིན 	བློ་དང 	ལྡན 	རྣམས་ལ 	།_། 	bstod tshogs ka_.txt	།_།  ཉིད་ཀྱིས  ཆོས་ལ  བདག་མེད་རྟོགས  །_།  དེ  བཞིན  བློ་དང  ལྡན  རྣམས་ལ  །_། 
།_།  དེ  ཕྱིར 	།_། 	ང་བོ 	ཉིད་ཀྱིས་དེ 	མ་སྐྱེས 	།_། 	དེ 	ཕྱིར 	སྟོང་པ 	-ར 	རབ་ཏུ་བསྟན 	།_། 	bstod tshogs ka_.txt	།_།  ང་བོ  ཉིད་ཀྱིས་དེ  མ་སྐྱེས  །_།  དེ  ཕྱིར  སྟོང་པ  -ར  རབ་ཏུ་བསྟན  །_། 
_།_།  དེ ་བཞིན 	མ 	སྨིག 	རྒྱུ 	བཞིན་དུ་ཡང 	_།_། 	དེ	་བཞིན 	སྲིད་པ 	ཀུན་དུ 	འབྱུང 	_།_། 	bstod tshogs ka_.txt	མ  སྨིག  རྒྱུ  བཞིན་དུ་ཡང  _།_།  དེ ་བཞིན  སྲིད་པ  ཀུན་དུ  འབྱུང  _།_། 
།_།  དེ  དག 	ཇི 	ལྟར 	རྒྱུ་རྐྱེན་ལས 	བྱུང་བ 	།_། 	དེ 	དག 	བྱས་པ 	ཅན་དུ་བཞེད 	།_། 	དེ 	bstod tshogs ka_.txt	ཇི  ལྟར  རྒྱུ་རྐྱེན་ལས  བྱུང་བ  །_།  དེ  དག  བྱས་པ  ཅན་དུ་བཞེད  །_།  དེ 
ཁྱོད་ཀྱིས  དེ ་ལྟར་གསུངས 	རྐྱེན་ལས 	བྱུང་བ་ཀུན 	།_། 	མགོན་པོ 	ཁྱོད་ཀྱིས 	དེ	་ལྟར་གསུངས 	།_། 	བྱིས་པ 	གང་དག་ཅི 	བརྗོད་པ 	bstod tshogs ka_.txt	རྐྱེན་ལས  བྱུང་བ་ཀུན  །_།  མགོན་པོ  ཁྱོད་ཀྱིས  དེ ་ལྟར་གསུངས  །_།  བྱིས་པ  གང་དག་ཅི  བརྗོད་པ 
 དེ  མཆིས་ཏེ 						དེ 	མཆིས་ཏེ 	།_། 	ཆད་པ 	སྟོང་པ 	འདྲ་བ་ལགས 	bstod tshogs ka_.txt	     དེ  མཆིས་ཏེ  །_།  ཆད་པ  སྟོང་པ  འདྲ་བ་ལགས 
།_།  དེ  ཚེ 	བྱས་པ 	-འི 	དངོས 	མ་སྐྱེས 	།_། 	དེ 	ཚེ 	ད་ལྟར 	བྱུང་བ་ཡི 	།_ 	གང 	bstod tshogs ka_.txt	བྱས་པ  -འི  དངོས  མ་སྐྱེས  །_།  དེ  ཚེ  ད་ལྟར  བྱུང་བ་ཡི  །_  གང 
